[1/330] state_smallbathroom3_r000_4_d02
[176/330] willow_dining14_r035_15_d22
[177/330] willow_dining14_r035_15_d20
[178/330] willow_dining14_r035_15_d13
[179/330] willow_dining14_r035_15_d19
[180/330] willow_dining14_r035_15_d21
[181/330] willow_kitchen18_r036_17_d03
[182/330] willow_kitchen18_r036_17_d02
[183/330] willow_kitchen18_r036_17_d13
[184/330] willow_kitchen18_r036_17_d14
[185/330] willow_kitchen18_r036_17_d11
[186/330] 14n_office7_r037_21_d03
[187/330] 14n_office7_r037_21_d24
[188/330] 14n_office7_r037_21_d08
[189/330] 14n_office7_r037_21_d05
[190/330] 14n_office7_r037_21_d20
[191/330] willow_kitchen15_r038_23_d03
[192/330] willow_kitchen15_r038_23_d24
[193/330] willow_kitchen15_r038_23_d15
[194/330] willow_kitchen15_r038_23_d12
[195/330] willow_kitchen15_r038_23_d02
[196/330] state_bigbathroom2_r039_27_d22
[197/330] state_bigbathroom2_r039_27_d21
[198/330] state_bigbathroom2_r039_27_d02
[199/330] state_bigbathroom2_r039_27_d24
[200/330] state_bigbathroom2_r039_27_d20
[201/330] 14n_office11_r040_32_d03
[202/330] 14n_office11_r040_32_d02
[203/330] 14n_office11_r040_32_d21
[204/330] 14n_office11_r040_32_d00
[205/330] 14n_office11_r040_32_d13
[206/330] state_bigbathroom2_r041_4_d02
[207/330] state_bigbathroom2_r041_4_d03
[208/330] state_bigbathroom2_r041_4_d23
[209/330] state_bigbathroom2_r041_4_d04
[210/330] state_bigbathroom2_r041_4_d21
[211/330] summer_bathroom8_r042_8_d22
[212/330] summer_bathroom8_r042_8_d21
[213/330] summer_bathroom8_r042_8_d11
[214/330] summer_bathroom8_r042_8_d03
[215/330] summer_bathroom8_r042_8_d01
[216/330] fulkerson_revis_dining5_r043_12_d03
[217/330] fulkerson_revis_dining5_r043_12_d24
[218/330] fulkerson_revis_dining5_r043_12_d20
[219/330] fulkerson_revis_dining5_r043_12_d21
[220/330] fulkerson_revis_dining5_r043_12_d22
[221/330] willow_dining11_r044_15_d03
[222/330] willow_dining11_r044_15_d02
[223/330] willow_dining11_r044_15_d10
[224/330] willow_dining11_r044_15_d22
[225/330] willow_dining11_r044_15_d21
[226/330] willow_kitchen15_r045_17_d02
[227/330] willow_kitchen15_r045_17_d20
[228/330] willow_kitchen15_r045_17_d14
[229/330] willow_kitchen15_r045_17_d03
[230/330] willow_kitchen15_r045_17_d24
[231/330] kingston_living7_r046_21_d19
[232/330] kingston_living7_r046_21_d02
[233/330] kingston_living7_r046_21_d20
[234/330] kingston_living7_r046_21_d23
[235/330] kingston_living7_r046_21_d04
[236/330] 14n_office1_r047_23_d02
[237/330] 14n_office1_r047_23_d21
[238/330] 14n_office1_r047_23_d05
[239/330] 14n_office1_r047_23_d17
[240/330] 14n_office1_r047_23_d20
[241/330] joy_bathroom9_r048_27_d22
[242/330] joy_bathroom9_r048_27_d20
[243/330] joy_bathroom9_r048_27_d03
[244/330] joy_bathroom9_r048_27_d07
[245/330] joy_bathroom9_r048_27_d14
[246/330] state_kitchen5_r049_32_d13
[247/330] state_kitchen5_r049_32_d20
[248/330] state_kitchen5_r049_32_d19
[249/330] state_kitchen5_r049_32_d10
[250/330] state_kitchen5_r049_32_d21
[251/330] kingston_bigbathroom6_r050_4_d02
[252/330] kingston_bigbathroom6_r050_4_d03
[253/330] kingston_bigbathroom6_r050_4_d00
[254/330] kingston_bigbathroom6_r050_4_d21
[255/330] kingston_bigbathroom6_r050_4_d22
[256/330] willow_dining11_r051_8_d03
[257/330] willow_dining11_r051_8_d02
[258/330] willow_dining11_r051_8_d20
[259/330] willow_dining11_r051_8_d21
[260/330] willow_dining11_r051_8_d19
[261/330] willow_dining14_r052_15_d22
[262/330] willow_dining14_r052_15_d05
[263/330] willow_dining14_r052_15_d20
[264/330] willow_dining14_r052_15_d02
[265/330] willow_dining14_r052_15_d19
[266/330] state_kitchen2_r053_17_d23
[267/330] state_kitchen2_r053_17_d03
[268/330] state_kitchen2_r053_17_d15
[269/330] state_kitchen2_r053_17_d17
[270/330] state_kitchen2_r053_17_d02
[271/330] 14n_office7_r054_21_d03
[272/330] 14n_office7_r054_21_d02
[273/330] 14n_office7_r054_21_d01
[274/330] 14n_office7_r054_21_d13
[275/330] 14n_office7_r054_21_d22
[276/330] willow_dining14_r055_23_d03
[277/330] willow_dining14_r055_23_d24
[278/330] willow_dining14_r055_23_d06
[279/330] willow_dining14_r055_23_d10
[280/330] willow_dining14_r055_23_d19
[281/330] state_smallbathroom3_r056_27_d22
[282/330] state_smallbathroom3_r056_27_d21
[283/330] state_smallbathroom3_r056_27_d02
[284/330] state_smallbathroom3_r056_27_d20
[285/330] state_smallbathroom3_r056_27_d01
[286/330] kingston_living5_r057_32_d03
[287/330] kingston_living5_r057_32_d02
[288/330] kingston_living5_r057_32_d14
[289/330] kingston_living5_r057_32_d20
[290/330] kingston_living5_r057_32_d24
[291/330] joy_living12_r058_8_d03
[292/330] joy_living12_r058_8_d02
[293/330] joy_living12_r058_8_d01
[294/330] joy_living12_r058_8_d20
[295/330] joy_living12_r058_8_d21
[296/330] kingston_floor1bath5_r059_17_d03
[297/330] kingston_floor1bath5_r059_17_d24
[298/330] kingston_floor1bath5_r059_17_d21
[299/330] kingston_floor1bath5_r059_17_d07
[300/330] kingston_floor1bath5_r059_17_d02
[301/330] kingston_floor1bath5_r060_23_d22
[302/330] kingston_floor1bath5_r060_23_d21
[303/330] kingston_floor1bath5_r060_23_d20
[304/330] kingston_floor1bath5_r060_23_d12
[305/330] kingston_floor1bath5_r060_23_d18
[306/330] kingston_dining7_r061_32_d03
[307/330] kingston_dining7_r061_32_d02
[308/330] kingston_dining7_r061_32_d13
[309/330] kingston_dining7_r061_32_d21
[310/330] kingston_dining7_r061_32_d20
[311/330] willow_dining12_r062_8_d03
[312/330] willow_dining12_r062_8_d02
[313/330] willow_dining12_r062_8_d06
[314/330] willow_dining12_r062_8_d21
[315/330] willow_dining12_r062_8_d19
[316/330] joy_bedroom16_r063_8_d03
[317/330] joy_bedroom16_r063_8_d24
[318/330] joy_bedroom16_r063_8_d01
[319/330] joy_bedroom16_r063_8_d15
[320/330] joy_bedroom16_r063_8_d14
[321/330] joy_bedroom14_r064_8_d02
[322/330] joy_bedroom14_r064_8_d03
[323/330] joy_bedroom14_r064_8_d19
[324/330] joy_bedroom14_r064_8_d22
[325/330] joy_bedroom14_r064_8_d24
[326/330] willow_dining8_r065_8_d18
[327/330] willow_dining8_r065_8_d21
[328/330] willow_dining8_r065_8_d03
[329/330] willow_dining8_r065_8_d07
[330/330] willow_dining8_r065_8_d01
{"sample_count": 330, "output_manifest": "experiments/manifests/material_constancy_region_alignment_v1/material_constancy_region_alignment_manifest.jsonl"}
